epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1509.16,1.42829,1.75924,1.86389,0.63636,0.56375,0.59074,0.2155,2.15553,1.91375,2.69639,0.00079705,0.00079705,0.00079705
43,1544.07,1.40612,1.68323,1.82625,0.73081,0.52177,0.61551,0.22978,2.2239,1.70578,2.76819,0.0007921,0.0007921,0.0007921
44,1580.44,1.38556,1.65249,1.81088,0.75364,0.52301,0.60178,0.23713,2.1418,1.76856,2.62373,0.00078715,0.00078715,0.00078715
45,1614.98,1.38558,1.65949,1.80704,0.73919,0.53333,0.58739,0.23038,2.10327,1.66826,2.66198,0.0007822,0.0007822,0.0007822
46,1650.4,1.39159,1.68293,1.81864,0.62878,0.56161,0.58607,0.22883,2.21924,1.64179,2.79557,0.00077725,0.00077725,0.00077725
47,1686.37,1.36358,1.63196,1.80433,0.666,0.58509,0.64843,0.24458,2.23618,1.61151,2.79142,0.0007723,0.0007723,0.0007723
48,1720.85,1.39895,1.62288,1.8232,0.68796,0.60036,0.65239,0.23442,2.14735,1.61351,2.67087,0.00076735,0.00076735,0.00076735
49,1757.42,1.387,1.62208,1.81036,0.70498,0.58443,0.63589,0.24576,2.1231,1.71796,2.58067,0.0007624,0.0007624,0.0007624
50,1792.42,1.35398,1.60014,1.77188,0.6995,0.59929,0.6519,0.24047,2.22529,1.61673,2.72994,0.00075745,0.00075745,0.00075745
51,1828.9,1.37115,1.59328,1.80148,0.75645,0.61306,0.66368,0.2424,2.22689,1.59047,2.75408,0.0007525,0.0007525,0.0007525
52,1864.33,1.36472,1.62827,1.7937,0.74155,0.56068,0.64777,0.25481,2.13826,1.71157,2.61456,0.00074755,0.00074755,0.00074755
53,1900.47,1.32677,1.54886,1.75647,0.77341,0.55251,0.66511,0.25957,2.21325,1.58133,2.7137,0.0007426,0.0007426,0.0007426
54,1936.75,1.36766,1.61366,1.79202,0.74353,0.58156,0.66657,0.27754,2.05217,1.61624,2.54825,0.00073765,0.00073765,0.00073765
55,1972.52,1.35307,1.54907,1.77536,0.70275,0.55115,0.60577,0.22986,2.18203,1.72953,2.70742,0.0007327,0.0007327,0.0007327
56,2008.16,1.31035,1.49275,1.74264,0.72378,0.56173,0.62639,0.25266,2.143,1.66571,2.67533,0.00072775,0.00072775,0.00072775
57,2042.79,1.33249,1.47057,1.75603,0.72212,0.5584,0.61919,0.2428,2.17856,1.70609,2.66846,0.0007228,0.0007228,0.0007228
58,2078.87,1.33136,1.49976,1.74953,0.69795,0.5578,0.63161,0.23487,2.2179,1.62329,2.75837,0.00071785,0.00071785,0.00071785
59,2114.5,1.32934,1.51514,1.74832,0.65156,0.60041,0.60657,0.24773,2.21268,1.63491,2.69385,0.0007129,0.0007129,0.0007129
60,2150,1.32184,1.43897,1.73849,0.70983,0.56678,0.62872,0.24763,2.17358,1.5206,2.72974,0.00070795,0.00070795,0.00070795
61,2185.19,1.32706,1.54324,1.74342,0.78149,0.58209,0.65725,0.24978,2.19299,1.6282,2.6997,0.000703,0.000703,0.000703
62,2219.82,1.31896,1.45524,1.73465,0.68062,0.64698,0.68858,0.27752,2.14277,1.50114,2.69117,0.00069805,0.00069805,0.00069805
63,2255.47,1.30443,1.46146,1.72402,0.73196,0.62543,0.69787,0.26056,2.23497,1.49343,2.77164,0.0006931,0.0006931,0.0006931
64,2290.4,1.30587,1.44933,1.71417,0.69863,0.60853,0.63758,0.24847,2.26027,1.55577,2.80656,0.00068815,0.00068815,0.00068815
65,2326.23,1.3017,1.43671,1.71965,0.76925,0.643,0.69326,0.27341,2.17735,1.48162,2.76586,0.0006832,0.0006832,0.0006832
66,2361.78,1.26974,1.39772,1.70131,0.77317,0.59003,0.6443,0.25092,2.22118,1.53857,2.84612,0.00067825,0.00067825,0.00067825
67,2396.51,1.28834,1.40913,1.7108,0.72683,0.59699,0.6404,0.24518,2.16931,1.45528,2.76009,0.0006733,0.0006733,0.0006733
68,2432.92,1.29505,1.41761,1.71355,0.82515,0.61129,0.71377,0.29121,2.18104,1.43492,2.76226,0.00066835,0.00066835,0.00066835
69,2467.97,1.28083,1.40021,1.69864,0.73528,0.60243,0.67316,0.27918,2.15651,1.46875,2.7205,0.0006634,0.0006634,0.0006634
70,2504.1,1.26664,1.37415,1.68887,0.70477,0.68957,0.68245,0.27649,2.12408,1.4902,2.65883,0.00065845,0.00065845,0.00065845
71,2539.09,1.27764,1.41013,1.69715,0.69564,0.65035,0.68891,0.27072,2.23138,1.51922,2.79438,0.0006535,0.0006535,0.0006535
72,2574.47,1.27814,1.36375,1.702,0.73345,0.63182,0.69253,0.27395,2.12394,1.53709,2.6608,0.00064855,0.00064855,0.00064855
73,2610.02,1.24624,1.34736,1.66654,0.75965,0.58127,0.66502,0.26886,2.16872,1.46825,2.73358,0.0006436,0.0006436,0.0006436
74,2645.96,1.24914,1.3249,1.66679,0.68416,0.61057,0.64672,0.27015,2.12187,1.56515,2.72043,0.00063865,0.00063865,0.00063865
75,2681.87,1.24552,1.36415,1.66736,0.79717,0.61322,0.67926,0.30175,2.08936,1.52138,2.67886,0.0006337,0.0006337,0.0006337
76,2717.13,1.25454,1.33904,1.66841,0.8265,0.58388,0.69011,0.26112,2.21632,1.55993,2.82341,0.00062875,0.00062875,0.00062875
77,2753.16,1.22772,1.32121,1.65755,0.79217,0.58967,0.68064,0.26864,2.21443,1.55738,2.79785,0.0006238,0.0006238,0.0006238
78,2789.66,1.24158,1.32892,1.67145,0.69862,0.65081,0.69624,0.26532,2.21578,1.50119,2.80209,0.00061885,0.00061885,0.00061885
79,2826.07,1.24138,1.3111,1.66042,0.73298,0.6241,0.69477,0.27933,2.17098,1.50696,2.70851,0.0006139,0.0006139,0.0006139
80,2862.64,1.22658,1.28915,1.65563,0.6604,0.58599,0.62302,0.24613,2.1627,1.52281,2.79083,0.00060895,0.00060895,0.00060895
81,2898.12,1.21167,1.29301,1.63795,0.7693,0.56372,0.64625,0.26924,2.16791,1.48951,2.84642,0.000604,0.000604,0.000604
82,2935.05,1.22565,1.30444,1.65188,0.73935,0.61544,0.66061,0.27977,2.10578,1.5367,2.7228,0.00059905,0.00059905,0.00059905
83,2970.64,1.2134,1.30652,1.64667,0.73126,0.5853,0.65997,0.26345,2.14323,1.4852,2.73542,0.0005941,0.0005941,0.0005941
84,3007.5,1.19455,1.27448,1.63365,0.71808,0.64323,0.66367,0.2634,2.12182,1.56622,2.73326,0.00058915,0.00058915,0.00058915
85,3044.01,1.20466,1.23465,1.64325,0.74585,0.55022,0.60919,0.2403,2.31087,1.57589,2.90549,0.0005842,0.0005842,0.0005842
86,3080.97,1.21324,1.27331,1.6374,0.85717,0.57811,0.7089,0.28501,2.14891,1.53498,2.74507,0.00057925,0.00057925,0.00057925
87,3115.96,1.17173,1.24963,1.61042,0.7963,0.56975,0.67658,0.27776,2.18914,1.51638,2.81193,0.0005743,0.0005743,0.0005743
