epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,6535.37,0.67731,0.40381,1.23785,0.80022,0.60192,0.70788,0.30593,2.0684,1.44815,2.81497,0.00010405,0.00010405,0.00010405
183,6567.99,0.67458,0.39351,1.21565,0.8792,0.57891,0.68514,0.29869,2.05703,1.50184,2.81255,9.91e-05,9.91e-05,9.91e-05
184,6600.28,0.66081,0.37993,1.20861,0.84002,0.5696,0.67338,0.30794,2.0505,1.51342,2.79234,9.415e-05,9.415e-05,9.415e-05
185,6632.73,0.64379,0.3631,1.20165,0.73494,0.61356,0.67942,0.30346,2.06603,1.5216,2.84622,8.92e-05,8.92e-05,8.92e-05
186,6665.89,0.62783,0.36671,1.19264,0.84505,0.5689,0.69342,0.30235,2.06624,1.5603,2.85444,8.425e-05,8.425e-05,8.425e-05
187,6699.35,0.64476,0.37655,1.21359,0.74777,0.64717,0.69372,0.30322,2.0545,1.52983,2.83696,7.93e-05,7.93e-05,7.93e-05
188,6731.75,0.62719,0.35857,1.17611,0.75545,0.61206,0.67193,0.30353,2.04753,1.50842,2.84314,7.435e-05,7.435e-05,7.435e-05
189,6764.26,0.61483,0.34957,1.17172,0.74627,0.63368,0.67199,0.30563,2.04277,1.53082,2.85303,6.94e-05,6.94e-05,6.94e-05
190,6796.7,0.61693,0.35798,1.17442,0.74067,0.61834,0.66661,0.30352,2.03977,1.55061,2.87503,6.445e-05,6.445e-05,6.445e-05
191,6829.47,0.63409,0.36007,1.18884,0.79613,0.59733,0.68396,0.31617,2.03186,1.54782,2.84262,5.95e-05,5.95e-05,5.95e-05
192,6863.44,0.62582,0.34943,1.18014,0.72902,0.6299,0.66888,0.30965,2.03672,1.58013,2.8392,5.455e-05,5.455e-05,5.455e-05
193,6896.02,0.63444,0.36596,1.19431,0.76451,0.60898,0.67483,0.31702,2.03444,1.58927,2.83302,4.96e-05,4.96e-05,4.96e-05
194,6928.21,0.62512,0.37032,1.18892,0.78439,0.59148,0.6646,0.3111,2.02762,1.5954,2.84065,4.465e-05,4.465e-05,4.465e-05
195,6960.73,0.62221,0.38035,1.19031,0.77949,0.60185,0.66335,0.312,2.05443,1.58621,2.87845,3.97e-05,3.97e-05,3.97e-05
196,6993.12,0.6006,0.33674,1.17157,0.76011,0.60861,0.66585,0.31456,2.0581,1.57696,2.89221,3.475e-05,3.475e-05,3.475e-05
197,7026.57,0.60458,0.33546,1.17115,0.76757,0.60751,0.66581,0.31233,2.05141,1.57489,2.87926,2.98e-05,2.98e-05,2.98e-05
198,7059.35,0.6106,0.34059,1.16985,0.77066,0.59605,0.67121,0.31033,2.04758,1.58753,2.86239,2.485e-05,2.485e-05,2.485e-05
199,7092.11,0.59309,0.33564,1.14845,0.82386,0.57165,0.66588,0.31359,2.04885,1.60615,2.87516,1.99e-05,1.99e-05,1.99e-05
200,7124.56,0.60716,0.34091,1.17263,0.82471,0.58101,0.67492,0.31508,2.04627,1.60169,2.8808,1.495e-05,1.495e-05,1.495e-05
